address,accountid,updated
Australia and Oceania,308829391,6/19/2014
Middle East and North Africa,811062943,3/29/2016
Asia,351731860,3/19/2011
Middle East and North Africa,179322469,12/25/2014
Sub-Saharan Africa,712633597,06-04-2017
Central America and the Caribbean,190776574,3/20/2017
Asia,523175227,2/22/2010
Europe,539565885,02-04-2016
Europe,939997375,11/29/2013
Asia,244831025,5/28/2014
Sub-Saharan Africa,644740664,05-04-2017
Asia,350712621,9/21/2016
Middle East and North Africa,344045722,12/16/2010
Asia,326351296,09-10-2014
Europe,969553172,02-07-2017
Europe,765887677,6/18/2016
Central America and the Caribbean,977903640,03-01-2015
Australia and Oceania,688462388,04-03-2017
Europe,850737750,03-07-2016
Central America and the Caribbean,238216054,05-06-2014
Asia,394696128,10/31/2010
Asia,684289300,12/19/2013
Australia and Oceania,541419398,01-09-2014
Europe,820822751,04-03-2017
Australia and Oceania,647548186,4/15/2012
Sub-Saharan Africa,566957032,9/18/2011
Sub-Saharan Africa,294723117,3/27/2017
Sub-Saharan Africa,966832768,1/25/2017
Sub-Saharan Africa,189584815,5/28/2011
Central America and the Caribbean,589590585,02-07-2017
Asia,363773906,2/15/2010
Sub-Saharan Africa,929371106,12/16/2012
Sub-Saharan Africa,173931014,12-06-2014
Sub-Saharan Africa,105314958,7/31/2014
Europe,101696765,9/19/2014
Europe,961562764,09-04-2011
Europe,853711783,9/28/2014
Asia,267255151,11/21/2010
Asia,661616694,1/17/2015
Asia,416532742,10/20/2012
Middle East and North Africa,682052123,06-12-2017
Central America and the Caribbean,428536164,10-10-2012
Europe,496658694,06-01-2010
Middle East and North Africa,447406041,5/19/2015
Europe,812077033,12-03-2014
Sub-Saharan Africa,842282998,2/13/2012
Asia,759947764,06-07-2015
Middle East and North Africa,407307660,4/13/2011
Europe,596911513,11/28/2013
Asia,861620652,8/29/2015
Middle East and North Africa,804608905,02-10-2014
Central America and the Caribbean,549362599,10/29/2014
Sub-Saharan Africa,289680564,11-12-2013
Sub-Saharan Africa,739674127,4/13/2015
Europe,883767116,3/16/2013
Sub-Saharan Africa,226695859,4/26/2010
Australia and Oceania,143509185,12/17/2013
North America,729568421,2/26/2010
Asia,350547397,03-03-2012
Sub-Saharan Africa,592432439,12-08-2011
Middle East and North Africa,411522376,07-05-2013
Central America and the Caribbean,184428536,9/26/2014
Europe,358074748,4/22/2010
Central America and the Caribbean,999697339,7/25/2011
Sub-Saharan Africa,446845138,12/17/2011
Europe,257379472,1/21/2013
Australia and Oceania,259474170,5/13/2014
Europe,801615560,3/21/2016
Europe,502602469,12-01-2015
Europe,301546227,04-09-2012
Middle East and North Africa,307870662,3/23/2016
Europe,251312100,3/24/2017
Europe,831919372,2/13/2017
Sub-Saharan Africa,570053803,4/15/2011
Europe,756389224,12-02-2014
Asia,501911962,03-05-2014
Australia and Oceania,787920844,03-01-2015
Asia,416027200,04-02-2017
Asia,958154857,08-11-2017
Australia and Oceania,906540143,12-12-2013
Sub-Saharan Africa,623731887,07-05-2016
Sub-Saharan Africa,992591416,05-05-2014
Europe,266292560,10-04-2015
Europe,818321645,7/31/2015
Asia,592477500,03-07-2013
Europe,752871453,9/24/2016
Middle East and North Africa,733927333,5/21/2016
Sub-Saharan Africa,490381467,12/13/2010
Middle East and North Africa,947282683,12-01-2011
Asia,849992311,4/21/2016
Central America and the Caribbean,814184176,02-05-2011
Sub-Saharan Africa,175844609,07-08-2014
Sub-Saharan Africa,141272437,1/13/2012
Europe,637078988,5/14/2012
Australia and Oceania,760188090,6/25/2014
Middle East and North Africa,127836072,06-11-2010
Middle East and North Africa,227571761,09-12-2012
Central America and the Caribbean,367256486,09-02-2011
Sub-Saharan Africa,825064074,06-08-2010
Asia,599480855,03-10-2013
Sub-Saharan Africa,559305655,5/16/2013
Middle East and North Africa,293649804,8/27/2013
Central America and the Caribbean,361937129,09-09-2013
Europe,943903958,3/19/2014
Sub-Saharan Africa,489599120,05-10-2013
Sub-Saharan Africa,669383943,07-04-2017
Central America and the Caribbean,523932254,11-05-2015
Sub-Saharan Africa,514230382,02-08-2013
Sub-Saharan Africa,271577155,09-08-2011
Europe,847583901,12/14/2014
Middle East and North Africa,664174449,1/27/2016
Europe,463585126,08-12-2016
Middle East and North Africa,158364760,7/14/2015
Europe,181374680,01-09-2013
Asia,135788714,10/28/2013
Asia,145093190,05-02-2016
Europe,403086936,6/27/2016
Sub-Saharan Africa,723881280,10-02-2010
Middle East and North Africa,991900050,11-06-2015
Sub-Saharan Africa,711879575,11-11-2011
Sub-Saharan Africa,358868682,9/22/2013
Europe,928228700,01-08-2015
Europe,785633456,11/17/2013
Middle East and North Africa,617069280,5/16/2017
Sub-Saharan Africa,278834998,04-09-2014
Sub-Saharan Africa,147541940,2/20/2010
Sub-Saharan Africa,670113933,12-11-2014
Central America and the Caribbean,113787305,1/13/2017
Sub-Saharan Africa,416110885,06-08-2017
Central America and the Caribbean,434946000,06-03-2010
Australia and Oceania,898466479,07-02-2010
Europe,355158650,4/18/2010
Middle East and North Africa,123821341,10/27/2014
Australia and Oceania,243565881,4/26/2015
Middle East and North Africa,823816096,2/23/2015
Middle East and North Africa,694308316,05-04-2011
Europe,555091369,4/22/2013
Europe,726526582,4/15/2016
Asia,699287784,1/18/2013
Asia,484361302,03-05-2012
Sub-Saharan Africa,163045966,3/17/2012
Middle East and North Africa,336953103,12-05-2012
Sub-Saharan Africa,778006541,12/15/2010
Sub-Saharan Africa,878442609,11-05-2011
Sub-Saharan Africa,100810134,11-02-2010
Australia and Oceania,227970445,9/15/2011
Sub-Saharan Africa,413097369,9/30/2015
Europe,329677236,5/15/2017
Asia,621508872,1/29/2016
Sub-Saharan Africa,652703607,05-05-2012
Central America and the Caribbean,757685267,08-04-2011
Europe,891190183,10-09-2012
Central America and the Caribbean,178267180,12/16/2011
Europe,964277589,11/16/2013
Europe,264895236,1/29/2013
Europe,116106450,8/27/2012
Australia and Oceania,824210059,12-06-2012
Middle East and North Africa,515817391,8/15/2015
Australia and Oceania,987852275,09-07-2011
Sub-Saharan Africa,957551038,03-11-2016
Central America and the Caribbean,112462508,11/18/2010
Europe,460448014,11/18/2016
Europe,479681384,06-02-2014
Sub-Saharan Africa,968648946,12/22/2014
Australia and Oceania,996149528,7/19/2012
Europe,151294457,12/22/2016
Middle East and North Africa,793507564,11/19/2012
Sub-Saharan Africa,402525174,03-04-2016
Europe,128396117,04-02-2017
Sub-Saharan Africa,741481721,3/19/2015
Sub-Saharan Africa,382455813,02-10-2014
Europe,412304723,3/30/2011
Middle East and North Africa,462327277,7/31/2016
Sub-Saharan Africa,684134805,10-08-2010
Europe,399651134,04-07-2017
Sub-Saharan Africa,351112592,10/14/2014
Sub-Saharan Africa,451068007,7/26/2017
Asia,232378709,8/30/2010
Sub-Saharan Africa,198218524,12-12-2013
Europe,472073781,10/29/2010
Australia and Oceania,347743308,12/14/2011
Sub-Saharan Africa,539338433,1/25/2014
Asia,931282985,4/30/2011
Australia and Oceania,128313291,10/27/2013
Central America and the Caribbean,405478179,1/15/2014
Europe,958138978,11/13/2012
Sub-Saharan Africa,151969516,2/21/2016
Central America and the Caribbean,472956120,8/26/2015
Europe,877397620,08-03-2015
Europe,841905343,8/31/2013
Europe,813403117,06-01-2012
Sub-Saharan Africa,859127271,05-06-2015
Sub-Saharan Africa,216626632,11/23/2015
Australia and Oceania,443762528,11/28/2015
Asia,468708789,8/14/2014
Sub-Saharan Africa,639951741,05-11-2012
Australia and Oceania,476290214,04-11-2014
Sub-Saharan Africa,916835534,3/14/2011
Europe,271011531,8/14/2014
Asia,968554532,06-07-2013
Europe,109513366,6/23/2017
Asia,714249360,04-11-2014
Sub-Saharan Africa,473436343,6/15/2011
Middle East and North Africa,298060643,6/14/2010
Sub-Saharan Africa,269421088,5/18/2017
Europe,989129006,6/15/2016
Europe,429108226,4/14/2012
North America,681595075,4/17/2010
Middle East and North Africa,309138381,2/23/2013
Asia,194599473,05-01-2017
Asia,391152179,2/24/2016
Europe,572282826,12/30/2011
Asia,481790244,10/25/2011
Europe,383785760,1/28/2016
Australia and Oceania,612693202,12-01-2014
Middle East and North Africa,223248898,01-03-2015
Australia and Oceania,140501677,5/30/2012
Australia and Oceania,909812867,11-10-2011
Europe,446856296,6/24/2015
Europe,787618291,1/26/2011
Middle East and North Africa,438397681,07-10-2014
Asia,225805795,9/16/2011
Asia,146766459,01-03-2017
Europe,718516004,8/20/2014
Asia,728603255,03-09-2017
Europe,384889543,12-07-2014
Asia,865548694,3/30/2011
Europe,269067037,4/24/2017
Middle East and North Africa,364243400,2/22/2012
Sub-Saharan Africa,740189111,04-10-2013
Sub-Saharan Africa,156327998,6/30/2012
Middle East and North Africa,592396390,12/21/2010
Australia and Oceania,498443114,2/15/2014
Asia,644829499,05-02-2013
Australia and Oceania,972229373,10/16/2012
Australia and Oceania,141629064,07-04-2017
Central America and the Caribbean,484327399,6/16/2014
Central America and the Caribbean,351935708,9/16/2014
Sub-Saharan Africa,866377818,4/20/2011
Asia,969890058,5/15/2013
Sub-Saharan Africa,575021255,08-01-2012
Sub-Saharan Africa,114632737,06-04-2016
Sub-Saharan Africa,991898334,10-07-2014
Asia,630304372,4/20/2013
Europe,123649680,7/15/2015
Sub-Saharan Africa,186045587,07-04-2010
Asia,701915919,12-06-2014
Middle East and North Africa,275997006,05-01-2016
North America,283337676,10-08-2014
Europe,819299256,2/16/2011
Europe,249555575,02-06-2011
Australia and Oceania,160092961,05-03-2014
Middle East and North Africa,407210242,4/25/2017
Sub-Saharan Africa,467518746,08-08-2017
Australia and Oceania,787942302,4/22/2010
Sub-Saharan Africa,535717236,1/25/2014
Sub-Saharan Africa,748392379,10-06-2014
Europe,283829057,3/27/2014
Middle East and North Africa,770201098,7/30/2011
Asia,755994832,12/21/2014
Sub-Saharan Africa,660009086,2/22/2014
Central America and the Caribbean,521355187,05-06-2015
Central America and the Caribbean,449456965,07-03-2014
Asia,174050748,1/30/2016
Sub-Saharan Africa,395185363,6/27/2014
Sub-Saharan Africa,533222138,09-02-2012
Europe,978834903,5/30/2010
Europe,843009984,12/26/2016
Sub-Saharan Africa,207046210,5/22/2015
Central America and the Caribbean,572554910,12/16/2012
Europe,811459910,03-02-2014
Europe,315997540,9/22/2016
Europe,348716628,01-05-2016
Middle East and North Africa,892478501,10/19/2015
North America,200456988,02-05-2017
Europe,646138417,9/30/2014
Middle East and North Africa,173321616,7/15/2015
Asia,846117913,8/24/2012
Europe,298951137,3/23/2011
Australia and Oceania,286557614,3/21/2010
Europe,833986175,5/31/2013
North America,686598145,5/24/2010
Europe,460067355,9/19/2010
Europe,390380132,03-05-2010
Europe,783835303,5/21/2016
Asia,667044198,12-03-2015
Asia,936930644,03-04-2015
Australia and Oceania,310730969,8/20/2013
Sub-Saharan Africa,275994002,05-01-2016
Middle East and North Africa,140581071,7/15/2013
Sub-Saharan Africa,182666003,1/18/2016
Europe,300735127,8/17/2012
Sub-Saharan Africa,463587272,4/14/2012
Middle East and North Africa,260333764,7/22/2017
Central America and the Caribbean,250398433,8/27/2012
Sub-Saharan Africa,613517606,11/23/2013
Sub-Saharan Africa,699740111,5/31/2011
Europe,379427278,01-03-2012
Europe,493252933,01-09-2012
Sub-Saharan Africa,602203404,08-10-2016
Middle East and North Africa,337577521,9/27/2012
Europe,750986611,6/27/2011
Middle East and North Africa,264354503,4/26/2013
Europe,519917523,07-04-2012
Europe,530224502,9/21/2015
Europe,728136765,03-02-2015
Central America and the Caribbean,716828143,11-08-2015
Central America and the Caribbean,619784963,03-10-2016
Middle East and North Africa,630806052,12/18/2011
Australia and Oceania,564002740,10/14/2014
Asia,303798854,5/16/2011
Europe,254930722,10/27/2011
Europe,892447173,11/29/2015
Europe,511709535,5/15/2017
Australia and Oceania,178391635,4/29/2014
Europe,578479802,7/30/2013
Australia and Oceania,668272864,11/17/2011
Middle East and North Africa,824382150,07-09-2014
Central America and the Caribbean,593731486,4/26/2016
Australia and Oceania,943557202,05-05-2013
Sub-Saharan Africa,211408126,03-08-2014
Sub-Saharan Africa,855145585,12/22/2012
Europe,902943408,8/28/2016
Europe,703287923,06-04-2010
Sub-Saharan Africa,674977958,06-03-2014
Europe,857124841,03-10-2012
Sub-Saharan Africa,459152400,10/21/2014
Middle East and North Africa,110796964,9/16/2011
Australia and Oceania,512107360,1/19/2012
Sub-Saharan Africa,183444917,6/25/2011
Europe,415483462,6/27/2017
Sub-Saharan Africa,319209325,3/24/2016
Sub-Saharan Africa,875921332,12-12-2013
Sub-Saharan Africa,887230813,08-02-2017
Middle East and North Africa,125061595,6/17/2016
Europe,681650006,2/21/2016
Sub-Saharan Africa,219544875,9/19/2011
Europe,521607530,09-04-2014
Asia,741011798,11/21/2010
Central America and the Caribbean,551244008,05-03-2010
Europe,596102988,3/28/2012
Sub-Saharan Africa,239700067,3/15/2017
Australia and Oceania,716459071,07-07-2015
Sub-Saharan Africa,181116330,06-01-2013
Sub-Saharan Africa,458720672,10/31/2014
Asia,294633424,11/30/2016
Central America and the Caribbean,304528415,1/29/2014
Europe,724391973,2/13/2017
Sub-Saharan Africa,960522925,3/25/2011
Middle East and North Africa,939532601,02-11-2013
Europe,658344829,9/30/2013
Sub-Saharan Africa,634195935,03-09-2013
Europe,554634749,11/22/2015
Middle East and North Africa,627522599,7/21/2012
Europe,231033313,09-11-2013
Middle East and North Africa,163653218,12-06-2015
Asia,394181144,11-03-2012
Central America and the Caribbean,511728417,09-05-2014
Europe,175718867,3/25/2013
Europe,465888822,02-02-2017
Europe,732287108,09-06-2016
Sub-Saharan Africa,845275056,02-03-2011
Sub-Saharan Africa,745526492,8/31/2011
Europe,894027745,2/14/2016
Sub-Saharan Africa,922077643,06-08-2011
Middle East and North Africa,981287515,04-02-2016
Central America and the Caribbean,393581187,11/20/2015
Australia and Oceania,801194989,03-12-2012
Europe,316677749,7/24/2011
Middle East and North Africa,272890794,4/28/2014
Central America and the Caribbean,273007953,6/30/2017
Europe,440515553,1/22/2012
Sub-Saharan Africa,969212424,5/15/2016
Middle East and North Africa,773209893,03-09-2012
Middle East and North Africa,636931788,12-10-2015
Sub-Saharan Africa,965114438,4/18/2015
Central America and the Caribbean,432806670,01-11-2010
Central America and the Caribbean,935369813,08-04-2016
Central America and the Caribbean,838477694,04-02-2010
Australia and Oceania,828116643,3/25/2013
Sub-Saharan Africa,760585486,7/28/2014
Sub-Saharan Africa,112495553,11-06-2011
Middle East and North Africa,230770671,03-04-2015
Middle East and North Africa,282647168,01-10-2013
Asia,405673873,01-06-2014
Europe,357712113,04-07-2012
Sub-Saharan Africa,866935718,9/21/2014
Sub-Saharan Africa,481831014,01-01-2014
Sub-Saharan Africa,521196830,04-03-2015
Europe,124144494,2/28/2017
Middle East and North Africa,300097835,8/27/2015
Middle East and North Africa,778793179,03-08-2015
Middle East and North Africa,460279357,2/28/2010
Central America and the Caribbean,564917695,11-03-2010
Middle East and North Africa,583382022,5/29/2017
Australia and Oceania,526658666,2/27/2016
Australia and Oceania,476046454,12-01-2012
Middle East and North Africa,133156716,1/19/2015
Middle East and North Africa,169913280,08-06-2011
Europe,878552472,12/18/2015
Europe,821623122,5/28/2015
Sub-Saharan Africa,881986558,02-08-2014
North America,212816607,10/22/2012
Sub-Saharan Africa,287599599,1/19/2014
Central America and the Caribbean,850134360,12-04-2016
Europe,364532220,9/28/2014
Central America and the Caribbean,965217006,8/23/2012
Central America and the Caribbean,806925046,03-02-2017
Europe,814705169,10/18/2016
Sub-Saharan Africa,633918702,5/30/2016
Sub-Saharan Africa,880239474,06-02-2010
Europe,889653813,1/18/2017
Asia,968460547,03-12-2014
Europe,143271005,9/20/2010
Europe,211009013,11/15/2012
Europe,788910901,2/24/2013
Asia,664525496,12/31/2015
Middle East and North Africa,945714128,2/14/2012
Middle East and North Africa,110650622,11/22/2011
Middle East and North Africa,757821309,1/27/2012
Central America and the Caribbean,156025016,12/13/2013
Asia,594373071,05-09-2012
Middle East and North Africa,832289302,05-09-2014
Australia and Oceania,149510037,5/28/2013
Europe,596084105,12-06-2014
Middle East and North Africa,242372834,08-04-2010
Asia,829050052,11-11-2011
Europe,117102086,03-10-2016
Europe,437827765,09-07-2010
Asia,142838418,11-08-2013
Asia,354057872,4/19/2011
Europe,913722455,4/18/2012
Europe,834380996,8/31/2015
Australia and Oceania,548894822,11/20/2013
Sub-Saharan Africa,560437762,02-11-2012
Asia,992496144,1/18/2016
Sub-Saharan Africa,238868796,11/25/2013
Europe,813667047,06-07-2017
Europe,801314723,05-06-2013
Middle East and North Africa,606548154,08-11-2011
Central America and the Caribbean,704416167,04-10-2012
Sub-Saharan Africa,290280091,3/24/2016
Middle East and North Africa,429813754,4/21/2014
Central America and the Caribbean,909003484,06-07-2013
Sub-Saharan Africa,684148108,02-06-2010
Europe,131858956,2/28/2017
Asia,599059855,7/29/2014
Europe,352987134,04-07-2013
Europe,431189620,04-06-2014
Sub-Saharan Africa,591528642,12/21/2011
Asia,662178027,03-12-2013
Europe,991624104,06-02-2010
Sub-Saharan Africa,198665702,8/21/2016
Europe,122414147,02-10-2015
Central America and the Caribbean,872293269,11/28/2016
Europe,378039395,8/19/2011
Central America and the Caribbean,239701354,2/14/2016
Central America and the Caribbean,777640473,08-12-2010
Middle East and North Africa,582530581,4/22/2010
Europe,565358006,05-11-2016
Asia,807421576,06-11-2012
Central America and the Caribbean,110332620,12-06-2012
Middle East and North Africa,946014964,12/29/2014
Europe,906704938,3/14/2016
Sub-Saharan Africa,354951369,1/26/2012
Asia,173615586,12-11-2013
Asia,415871417,2/20/2015
Asia,755205190,08-10-2010
Australia and Oceania,935415732,08-04-2014
Middle East and North Africa,320614373,09-09-2012
Middle East and North Africa,145224940,4/30/2010
Central America and the Caribbean,363983762,10-03-2013
Asia,101939666,08-09-2011
Europe,804453980,4/27/2016
Australia and Oceania,387200534,9/29/2014
North America,886165654,7/13/2017
Central America and the Caribbean,807648169,7/29/2017
Europe,978259408,4/23/2016
Sub-Saharan Africa,494923198,7/22/2012
Europe,774875867,07-10-2013
Sub-Saharan Africa,605666244,07-08-2016
Europe,195155656,02-06-2012
Asia,721517932,8/22/2010
Middle East and North Africa,283239400,05-02-2016
Middle East and North Africa,649118888,6/21/2015
Central America and the Caribbean,508267724,06-09-2010
Middle East and North Africa,420109736,11/22/2015
Sub-Saharan Africa,564381253,2/18/2010
Middle East and North Africa,291131103,9/25/2013
Sub-Saharan Africa,370720613,8/21/2010
Central America and the Caribbean,743823611,6/20/2012
Middle East and North Africa,971426427,8/31/2016
Asia,684827888,05-07-2010
Australia and Oceania,935639321,2/24/2012
Sub-Saharan Africa,145784556,10/31/2014
Asia,857499921,10/22/2012
Europe,283334243,6/20/2012
Sub-Saharan Africa,656148850,01-02-2014
Sub-Saharan Africa,679117572,7/31/2014
Sub-Saharan Africa,475726735,9/27/2012
Europe,239775168,9/13/2011
Sub-Saharan Africa,685374200,8/28/2015
Europe,796947658,03-02-2011
Sub-Saharan Africa,979231870,1/17/2016
Sub-Saharan Africa,807275664,12-07-2014
Asia,376440370,06-01-2016
Asia,752399814,05-01-2011
Middle East and North Africa,821140325,1/18/2014
Sub-Saharan Africa,438960731,10-03-2013
Middle East and North Africa,882472360,6/15/2015
Sub-Saharan Africa,798599040,5/23/2014
Sub-Saharan Africa,254577100,12-01-2013
Central America and the Caribbean,287955367,1/22/2015
North America,656595170,3/23/2012
Europe,288670337,1/31/2012
Sub-Saharan Africa,432667195,12/16/2014
Sub-Saharan Africa,607384574,9/21/2010
North America,851933801,6/23/2013
Asia,375738704,2/25/2011
Sub-Saharan Africa,708535611,3/17/2016
Asia,750373351,1/22/2015
Central America and the Caribbean,821613252,10/19/2010
Middle East and North Africa,412929141,1/19/2011
Sub-Saharan Africa,435307347,02-10-2017
Europe,970046699,5/18/2012
Asia,818758523,5/13/2011
Europe,653366649,02-03-2011
Europe,766107404,12/27/2016
Europe,619529616,11-10-2016
Europe,196494615,3/14/2014
Sub-Saharan Africa,450176227,06-12-2010
Europe,154060781,2/23/2015
Europe,851947104,8/31/2012
Asia,107946527,03-11-2011
Australia and Oceania,956482875,12/30/2015
Central America and the Caribbean,652292478,10-05-2010
Sub-Saharan Africa,120424163,5/26/2014
Europe,806239259,8/24/2016
Europe,625411593,11/29/2011
Sub-Saharan Africa,713927495,11-06-2010
Asia,478085792,10/16/2013
Sub-Saharan Africa,744497811,11/17/2014
Middle East and North Africa,610087382,8/24/2012
Middle East and North Africa,592090833,6/13/2014
Central America and the Caribbean,378056991,08-05-2017
Europe,175847184,6/29/2012
Australia and Oceania,263635241,5/18/2017
Middle East and North Africa,539907491,7/31/2013
Sub-Saharan Africa,973462760,7/17/2017
Middle East and North Africa,253412377,07-05-2016
Middle East and North Africa,739180171,5/29/2010
Europe,810502469,11-05-2014
Asia,717428100,12-12-2012
Middle East and North Africa,330318391,02-06-2011
Middle East and North Africa,489847171,8/17/2013
Asia,757000768,2/15/2010
Sub-Saharan Africa,763078010,7/23/2010
Australia and Oceania,659690225,9/19/2010
Europe,668761241,3/17/2011
Sub-Saharan Africa,632527387,11/15/2013
Europe,463537490,5/25/2017
Sub-Saharan Africa,594652879,7/14/2014
Asia,629047381,03-01-2010
Central America and the Caribbean,690207326,09-10-2017
Europe,971931540,8/17/2017
Asia,388331353,06-07-2014
Sub-Saharan Africa,623830592,02-08-2017
Middle East and North Africa,283165585,4/28/2013
Asia,741385161,06-05-2010
Europe,293850648,01-06-2017
Sub-Saharan Africa,906235873,05-06-2016
Australia and Oceania,564527165,3/21/2015
Sub-Saharan Africa,925023353,04-02-2010
Australia and Oceania,564335763,4/20/2014
Sub-Saharan Africa,829388225,8/14/2014
Middle East and North Africa,887417066,2/14/2015
Australia and Oceania,875971114,5/30/2016
Middle East and North Africa,552911698,11/22/2012
Sub-Saharan Africa,646412646,5/20/2011
Europe,604960286,05-04-2012
Asia,847353446,1/25/2013
Sub-Saharan Africa,512703454,04-01-2012
Central America and the Caribbean,610434138,07-08-2013
Australia and Oceania,870281827,8/15/2013
Europe,192295348,7/20/2014
Sub-Saharan Africa,696836030,7/15/2011
Europe,974577701,6/27/2012
Europe,136506688,11-05-2010
Sub-Saharan Africa,963921821,9/23/2012
Central America and the Caribbean,458434426,3/16/2010
Europe,191968333,4/25/2015
Sub-Saharan Africa,456759870,10-03-2010
Australia and Oceania,715357863,05-09-2014
Sub-Saharan Africa,950623643,01-03-2015
Europe,315731036,9/26/2013
Sub-Saharan Africa,284166371,8/31/2012
Sub-Saharan Africa,599728477,4/19/2011
Australia and Oceania,626528680,02-06-2010
Sub-Saharan Africa,698990809,07-03-2014
Sub-Saharan Africa,771851193,11/19/2015
Central America and the Caribbean,870158660,03-04-2010
Middle East and North Africa,639274537,07-10-2017
Central America and the Caribbean,694872653,1/22/2017
Asia,372939336,2/26/2012
Sub-Saharan Africa,879773414,7/25/2010
Australia and Oceania,341986215,11-10-2013
Central America and the Caribbean,556501567,2/25/2013
Asia,240555799,10/15/2015
North America,881697738,07-05-2011
Sub-Saharan Africa,887788712,06-08-2013
Australia and Oceania,537002551,12/14/2016
Europe,627825582,02-05-2011
Central America and the Caribbean,229056632,6/14/2012
Sub-Saharan Africa,729807031,7/24/2015
Middle East and North Africa,889500606,11/28/2012
Europe,887873685,7/15/2012
Middle East and North Africa,974975097,7/28/2012
Sub-Saharan Africa,121166169,02-10-2012
Sub-Saharan Africa,967120730,3/15/2015
Middle East and North Africa,373825109,7/26/2011
Sub-Saharan Africa,672578132,03-08-2011
Asia,214991128,5/29/2017
Australia and Oceania,122987926,9/15/2015
Europe,238804852,05-09-2015
Sub-Saharan Africa,474990737,4/21/2015
Sub-Saharan Africa,364406907,8/14/2015
Middle East and North Africa,410227191,08-05-2013
North America,735937917,05-08-2015
Europe,635337913,5/23/2016
North America,822538506,8/15/2013
Asia,281963527,11/22/2015
Sub-Saharan Africa,318349301,01-05-2011
Europe,506744658,11/28/2013
Sub-Saharan Africa,942510926,08-05-2010
Sub-Saharan Africa,891321933,3/13/2014
Sub-Saharan Africa,139164006,10/18/2016
Sub-Saharan Africa,342335975,9/24/2014
Sub-Saharan Africa,977449166,7/22/2013
Sub-Saharan Africa,691427409,5/26/2015
Sub-Saharan Africa,451507031,9/25/2016
Europe,395236861,08-06-2010
Asia,280478227,02-12-2014
Europe,835404956,3/26/2011
Asia,608503377,2/18/2010
Europe,918572318,09-09-2015
Sub-Saharan Africa,904723107,7/30/2011
Middle East and North Africa,676379573,2/26/2016
Europe,863278043,6/14/2011
Asia,365467345,6/15/2014
Sub-Saharan Africa,403308808,10/28/2012
Europe,467476260,05-02-2014
Sub-Saharan Africa,568956029,7/25/2012
Asia,789046943,8/18/2013
Middle East and North Africa,829360330,03-04-2017
Sub-Saharan Africa,461820018,5/17/2012
Australia and Oceania,878662335,07-05-2012
Central America and the Caribbean,642436110,7/14/2012
Europe,636002671,5/13/2016
Europe,912535846,06-11-2017
Middle East and North Africa,245521962,08-07-2010
Europe,178759849,05-04-2010
Australia and Oceania,976360833,2/19/2017
Central America and the Caribbean,272748744,9/13/2013
Sub-Saharan Africa,722659909,11-07-2013
Europe,551143157,1/24/2014
Asia,303559815,3/28/2011
Asia,595583713,05-01-2015
Europe,763201177,01-04-2014
Europe,212711036,4/26/2015
Europe,670724618,04-02-2013
Asia,334165751,3/17/2014
Asia,620270764,02-09-2010
Europe,316588485,7/18/2013
Asia,530980241,10/17/2014
Asia,641619861,1/29/2017
Central America and the Caribbean,546993672,11/17/2016
Europe,215900504,05-08-2015
Central America and the Caribbean,137451684,03-01-2015
Europe,871071040,10/28/2015
Middle East and North Africa,796494901,8/23/2010
Middle East and North Africa,163772094,10-01-2012
North America,643263947,7/15/2013
Europe,375644290,03-09-2017
Middle East and North Africa,721899449,7/24/2013
Central America and the Caribbean,413328254,05-11-2012
Asia,501542031,1/29/2017
Sub-Saharan Africa,308464610,1/15/2013
Middle East and North Africa,576332318,3/29/2017
Sub-Saharan Africa,317693984,8/16/2013
Sub-Saharan Africa,865410935,02-09-2017
Central America and the Caribbean,922657001,2/21/2010
Europe,612918508,7/22/2013
Europe,129994285,9/17/2015
Asia,187995660,3/22/2013
Europe,671346461,3/24/2015
Europe,184783017,10/29/2016
Sub-Saharan Africa,103354156,07-05-2010
Middle East and North Africa,522421205,2/27/2012
Sub-Saharan Africa,707657992,08-08-2012
Central America and the Caribbean,445050847,3/21/2011
Asia,490898597,03-09-2012
Central America and the Caribbean,321812570,3/24/2013
Sub-Saharan Africa,384716594,9/24/2016
Europe,746846997,03-11-2011
Sub-Saharan Africa,645752608,10-09-2012
Sub-Saharan Africa,739294755,10-01-2015
Australia and Oceania,855647265,8/20/2011
Sub-Saharan Africa,443296468,1/19/2016
Central America and the Caribbean,821041190,4/16/2011
Middle East and North Africa,227992761,4/25/2011
Sub-Saharan Africa,573575007,10-10-2011
Sub-Saharan Africa,687524259,5/27/2017
Sub-Saharan Africa,369889342,11/27/2014
Asia,841031587,07-12-2014
Sub-Saharan Africa,691624820,08-05-2016
Europe,832655370,09-11-2014
Europe,445422065,12-11-2014
Sub-Saharan Africa,131536233,12/24/2016
Australia and Oceania,562921702,7/24/2017
Middle East and North Africa,231814801,09-04-2014
Europe,400764358,12/28/2010
Asia,152631700,06-03-2010
Asia,440590655,2/16/2014
Central America and the Caribbean,938127553,8/26/2016
Sub-Saharan Africa,489041221,5/13/2017
Australia and Oceania,257442986,01-06-2017
Europe,577756679,03-03-2013
Australia and Oceania,504718625,5/14/2012
Middle East and North Africa,963377654,10/20/2010
Asia,699095094,1/28/2013
North America,327544772,11/14/2013
Sub-Saharan Africa,984713017,04-11-2016
Asia,276898658,1/19/2013
Sub-Saharan Africa,830713021,3/14/2013
Central America and the Caribbean,843079936,09-04-2015
